[2021-04-05 12:04:01] No settings files found: D:/Mindustry-Server/config/settings.bin and D:/Mindustry-Server/config/settings_backup.bin
[2021-04-05 13:37:02] Saving 7 values; 494 bytes
[2021-04-05 13:38:02] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:38:25] Saving 7 values; 494 bytes
[2021-04-05 13:39:02] Saving 7 values; 494 bytes
[2021-04-05 13:40:02] Saving 7 values; 494 bytes
[2021-04-05 13:41:02] Saving 7 values; 494 bytes
[2021-04-05 13:42:02] Saving 7 values; 494 bytes
[2021-04-05 13:43:02] Saving 7 values; 494 bytes
[2021-04-05 13:44:02] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:44:42] Saving 7 values; 494 bytes
[2021-04-05 13:45:02] Saving 7 values; 494 bytes
[2021-04-05 13:46:02] Saving 7 values; 494 bytes
[2021-04-05 13:47:02] Saving 7 values; 494 bytes
[2021-04-05 13:48:02] Saving 7 values; 494 bytes
[2021-04-05 13:49:02] Saving 7 values; 494 bytes
[2021-04-05 13:50:02] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:50:38] Saving 7 values; 494 bytes
[2021-04-05 13:51:02] Saving 7 values; 494 bytes
[2021-04-05 13:52:02] Saving 7 values; 494 bytes
[2021-04-05 13:53:02] Saving 7 values; 494 bytes
[2021-04-05 13:54:02] Saving 7 values; 494 bytes
[2021-04-05 13:55:02] Saving 7 values; 494 bytes
[2021-04-05 13:56:02] Saving 7 values; 494 bytes
[2021-04-05 13:57:02] Saving 7 values; 494 bytes
[2021-04-05 13:57:12] Saving 7 values; 494 bytes
[2021-04-05 13:57:12] Saving 7 values; 494 bytes
[2021-04-05 13:57:13] Saving 7 values; 494 bytes
[2021-04-05 13:58:02] Saving 7 values; 494 bytes
[2021-04-05 13:59:02] Saving 7 values; 494 bytes
[2021-04-05 14:00:02] Saving 7 values; 494 bytes
[2021-04-05 14:01:02] Saving 7 values; 494 bytes
[2021-04-05 14:02:02] Saving 7 values; 494 bytes
[2021-04-05 14:03:02] Saving 7 values; 494 bytes
[2021-04-05 14:03:43] Saving 7 values; 494 bytes
[2021-04-05 14:03:43] Saving 7 values; 494 bytes
[2021-04-05 14:03:43] Saving 7 values; 494 bytes
[2021-04-05 14:04:02] Saving 7 values; 494 bytes
[2021-04-05 14:05:02] Saving 7 values; 494 bytes
[2021-04-05 14:06:02] Saving 7 values; 494 bytes
[2021-04-05 14:07:02] Saving 7 values; 494 bytes
[2021-04-05 14:08:02] Saving 7 values; 494 bytes
[2021-04-05 14:09:02] Saving 7 values; 494 bytes
[2021-04-05 14:10:02] Saving 7 values; 494 bytes
[2021-04-05 14:11:02] Saving 7 values; 494 bytes
[2021-04-05 14:11:06] Saving 7 values; 494 bytes
[2021-04-05 14:11:06] Saving 7 values; 494 bytes
[2021-04-05 14:11:06] Saving 7 values; 494 bytes
[2021-04-05 14:12:02] Saving 7 values; 494 bytes
[2021-04-05 14:13:02] Saving 7 values; 494 bytes
[2021-04-05 14:14:02] Saving 7 values; 494 bytes
[2021-04-05 14:15:02] Saving 7 values; 494 bytes
[2021-04-05 14:16:02] Saving 7 values; 494 bytes
[2021-04-05 14:16:54] Saving 7 values; 494 bytes
[2021-04-05 14:16:54] Saving 7 values; 494 bytes
[2021-04-05 14:16:54] Saving 7 values; 494 bytes
[2021-04-05 14:17:02] Saving 7 values; 494 bytes
[2021-04-05 14:18:02] Saving 7 values; 494 bytes
[2021-04-05 14:19:02] Saving 7 values; 494 bytes
[2021-04-05 14:20:02] Saving 7 values; 494 bytes
[2021-04-05 14:21:02] Saving 7 values; 494 bytes
[2021-04-05 14:22:02] Saving 7 values; 494 bytes
[2021-04-05 14:23:02] Saving 7 values; 494 bytes
[2021-04-05 14:23:13] Saving 7 values; 494 bytes
[2021-04-05 14:23:13] Saving 7 values; 494 bytes
[2021-04-05 14:23:13] Saving 7 values; 494 bytes
[2021-04-05 14:24:02] Saving 7 values; 494 bytes
[2021-04-05 14:25:02] Saving 7 values; 494 bytes
[2021-04-05 14:26:02] Saving 7 values; 494 bytes
[2021-04-05 14:27:02] Saving 7 values; 494 bytes
[2021-04-05 14:28:02] Saving 7 values; 494 bytes
[2021-04-05 14:29:02] Saving 7 values; 494 bytes
[2021-04-05 14:29:02] Saving 7 values; 494 bytes
[2021-04-05 14:29:02] Saving 7 values; 494 bytes
[2021-04-05 14:29:02] Saving 7 values; 494 bytes
[2021-04-05 14:30:02] Saving 7 values; 494 bytes
[2021-04-05 14:31:02] Saving 7 values; 494 bytes
[2021-04-05 14:32:02] Saving 7 values; 494 bytes
[2021-04-05 14:33:02] Saving 7 values; 494 bytes
[2021-04-05 14:34:02] Saving 7 values; 494 bytes
[2021-04-05 14:34:35] Saving 7 values; 494 bytes
[2021-04-05 14:34:35] Saving 7 values; 494 bytes
[2021-04-05 14:34:35] Saving 7 values; 494 bytes
[2021-04-05 14:35:02] Saving 7 values; 494 bytes
[2021-04-05 14:36:02] Saving 7 values; 494 bytes
[2021-04-05 14:37:02] Saving 7 values; 494 bytes
[2021-04-05 14:38:02] Saving 7 values; 494 bytes
[2021-04-05 14:39:02] Saving 7 values; 494 bytes
[2021-04-05 14:40:02] Saving 7 values; 494 bytes
[2021-04-05 14:41:02] Saving 7 values; 494 bytes
[2021-04-05 14:41:58] Saving 7 values; 494 bytes
[2021-04-05 14:41:58] Saving 7 values; 494 bytes
[2021-04-05 14:41:58] Saving 7 values; 494 bytes
[2021-04-05 14:42:02] Saving 7 values; 494 bytes
[2021-04-05 14:43:02] Saving 7 values; 494 bytes
[2021-04-05 14:44:02] Saving 7 values; 494 bytes
[2021-04-05 14:45:02] Saving 7 values; 494 bytes
[2021-04-05 14:46:02] Saving 7 values; 494 bytes
[2021-04-05 14:47:02] Saving 7 values; 494 bytes
[2021-04-05 14:48:02] Saving 7 values; 494 bytes
[2021-04-05 14:48:24] Saving 7 values; 494 bytes
[2021-04-05 14:48:24] Saving 7 values; 494 bytes
[2021-04-05 14:48:24] Saving 7 values; 494 bytes
[2021-04-05 14:49:02] Saving 7 values; 494 bytes
[2021-04-05 14:50:02] Saving 7 values; 494 bytes
[2021-04-05 14:51:02] Saving 7 values; 494 bytes
[2021-04-05 14:52:02] Saving 7 values; 494 bytes
[2021-04-05 14:53:02] Saving 7 values; 494 bytes
[2021-04-05 14:54:02] Saving 7 values; 494 bytes
[2021-04-05 14:55:02] Saving 7 values; 494 bytes
[2021-04-05 14:55:46] Saving 7 values; 494 bytes
[2021-04-05 14:55:46] Saving 7 values; 494 bytes
[2021-04-05 14:55:47] Saving 7 values; 494 bytes
[2021-04-05 14:56:02] Saving 7 values; 494 bytes
[2021-04-05 14:57:02] Saving 7 values; 494 bytes
[2021-04-05 14:58:02] Saving 7 values; 494 bytes
[2021-04-05 14:59:02] Saving 7 values; 494 bytes
[2021-04-05 15:00:02] Saving 7 values; 494 bytes
[2021-04-05 15:01:02] Saving 7 values; 494 bytes
[2021-04-05 15:02:02] Saving 7 values; 494 bytes
[2021-04-05 15:02:28] Saving 7 values; 494 bytes
[2021-04-05 15:02:28] Saving 7 values; 494 bytes
[2021-04-05 15:02:29] Saving 7 values; 494 bytes
[2021-04-05 15:03:02] Saving 7 values; 494 bytes
[2021-04-05 15:04:02] Saving 7 values; 744 bytes
[2021-04-05 15:05:02] Saving 7 values; 744 bytes
[2021-04-05 15:06:02] Saving 7 values; 744 bytes
[2021-04-05 15:07:02] Saving 7 values; 744 bytes
[2021-04-05 15:08:02] Saving 7 values; 744 bytes
[2021-04-05 15:09:02] Saving 7 values; 744 bytes
[2021-04-05 15:10:02] Saving 7 values; 744 bytes
[2021-04-05 15:11:02] Saving 7 values; 744 bytes
[2021-04-05 15:12:02] Saving 7 values; 744 bytes
[2021-04-05 15:13:02] Saving 7 values; 744 bytes
[2021-04-05 15:14:02] Saving 7 values; 744 bytes
[2021-04-05 15:15:02] Saving 7 values; 744 bytes
[2021-04-05 15:16:02] Saving 7 values; 744 bytes
[2021-04-05 15:17:02] Saving 7 values; 744 bytes
[2021-04-05 15:18:02] Saving 7 values; 744 bytes
[2021-04-05 15:19:02] Saving 7 values; 744 bytes
[2021-04-05 15:20:02] Saving 7 values; 744 bytes
[2021-04-05 15:21:02] Saving 7 values; 744 bytes
[2021-04-05 15:22:02] Saving 7 values; 744 bytes
[2021-04-05 15:23:02] Saving 7 values; 744 bytes
[2021-04-05 15:24:02] Saving 7 values; 744 bytes
[2021-04-05 15:25:02] Saving 7 values; 744 bytes
[2021-04-05 15:26:02] Saving 7 values; 744 bytes
[2021-04-05 15:27:02] Saving 7 values; 744 bytes
[2021-04-05 15:28:02] Saving 7 values; 744 bytes
[2021-04-05 15:29:02] Saving 7 values; 744 bytes
[2021-04-05 15:30:02] Saving 7 values; 744 bytes
[2021-04-05 15:31:02] Saving 7 values; 744 bytes
[2021-04-05 15:32:02] Saving 7 values; 744 bytes
[2021-04-05 15:33:02] Saving 7 values; 744 bytes
[2021-04-05 15:34:02] Saving 7 values; 744 bytes
[2021-04-05 15:35:02] Saving 7 values; 744 bytes
[2021-04-05 15:36:02] Saving 7 values; 744 bytes
[2021-04-05 15:37:02] Saving 7 values; 744 bytes
[2021-04-05 15:38:02] Saving 7 values; 744 bytes
[2021-04-05 15:39:02] Saving 7 values; 744 bytes
[2021-04-05 15:40:02] Saving 7 values; 744 bytes
[2021-04-05 15:41:02] Saving 7 values; 744 bytes
[2021-04-05 15:42:02] Saving 7 values; 744 bytes
[2021-04-05 15:43:02] Saving 7 values; 744 bytes
[2021-04-05 15:44:02] Saving 7 values; 744 bytes
[2021-04-05 15:45:02] Saving 7 values; 744 bytes
[2021-04-05 15:46:02] Saving 7 values; 744 bytes
[2021-04-05 15:47:02] Saving 7 values; 744 bytes
[2021-04-05 15:48:02] Saving 7 values; 744 bytes
[2021-04-05 15:49:02] Saving 7 values; 744 bytes
[2021-04-05 15:50:02] Saving 7 values; 744 bytes
[2021-04-05 15:51:02] Saving 7 values; 744 bytes
[2021-04-05 15:52:02] Saving 7 values; 744 bytes
[2021-04-05 15:53:02] Saving 7 values; 744 bytes
[2021-04-05 15:53:15] Saving 7 values; 744 bytes
[2021-04-05 15:53:15] Saving 7 values; 744 bytes
[2021-04-05 15:53:16] Saving 7 values; 744 bytes
[2021-04-05 15:54:02] Saving 7 values; 744 bytes
[2021-04-05 15:55:02] Saving 7 values; 744 bytes
[2021-04-05 15:56:02] Saving 7 values; 744 bytes
[2021-04-05 15:57:02] Saving 7 values; 744 bytes
[2021-04-05 15:58:02] Saving 7 values; 744 bytes
[2021-04-05 15:59:02] Saving 7 values; 744 bytes
[2021-04-05 15:59:57] Saving 7 values; 744 bytes
[2021-04-05 15:59:57] Saving 7 values; 744 bytes
[2021-04-05 15:59:57] Saving 7 values; 744 bytes
[2021-04-05 16:00:02] Saving 7 values; 744 bytes
